"   ","GPMS_ID","REGION","COUNTRY"
"714","300351","EU","EU"
"715","100341","CA","CA"
"716","000519","US","US"
"717","004699","US","US"
"718","000935","US","US"
"719","000945","US","US"
"720","000304","US","US"
"721","001543","US","US"
"722","002924","US","US"
"723","001113","US","US"
"724","001140","US","US"
"725","001919","EU","EU"
"726","000484","US","US"
"727","003828","US","US"
"728","004392","US","US"
"729","000628","US","US"
"730","300198","EU","EU"
"731","000152","US","US"
"732","001529","US","US"
"733","001635","US","US"
"734","003836","US","US"
"735","100275","CA","CA"
"736","001343","US","US"
"737","000170","US","US"
"738","300268","EU","EU"
"739","300529","EU","EU"
"740","304491","US","US"
"741","000655","US","US"
"742","004731","US","US"
"743","000474","US","US"
"744","001804","US","US"
"745","303973","EU","EU"
"746","000485","US","US"
"747","000758","US","US"
"748","100354","CA","CA"
"749","004749","US","US"
"750","003376","US","US"
"751","000712","US","US"
"752","003155","US","US"
"753","004393","US","US"
"754","300331","EU","EU"
"755","300530","EU","EU"
"756","100250","CA","CA"
"757","300199","EU","EU"
"758","000612","US","US"
"759","000179","US","US"
"760","000194","US","US"
"761","000750","US","US"
"762","000386","US","US"
"763","100495","CA","CA"
"764","300405","EU","EU"
"765","002247","EU","EU"
"766","004701","US","US"
"767","004691","US","US"
"768","000273","US","US"
"769","300496","EU","EU"
"770","000686","US","US"
